parent	category	uri	wiki
Wheats	Khorasan wheats	/category/khorasan-wheats	Q11163068
Wheats	Spelts	/category/spelts	Q158767
Cereal grains	Wild rice	/category/wild-rice	Q831681
Cereals and their products	Cereal oils	/category/cereal-oils	
Cereal oils	Amaranth oils	/category/amaranth-oils	Q4740149
Cereal oils	Corn oils	/category/corn-oils	Q856775
Cereal oils	Linseed oils	/category/linseed-oils	Q818405
Cereal oils	Rice bran oils	/category/rice-bran-oils	Q175933
Cereal oils	Sesame oils	/category/sesame-oils	Q212317
Cereal oils	Wheat germ oils	/category/wheat-germ-oils	Q720761
Cereals and their products	Cereal semolinas	/category/cereal-semolinas	Q381350
Cereal semolinas	Corn semolinas	/category/corn-semolinas	
Corn semolinas	Corn semolinas for polenta	/category/corn-semolinas-for-polenta	
Cereal semolinas	Rice semolinas	/category/rice-semolinas	
Cereal semolinas	Wheat semolinas	/category/wheat-semolinas	
Wheat semolinas	Durum wheat semolinas	/category/durum-wheat-semolinas	Q381350
Durum wheat semolinas	Durum wheat semolinas for couscous	/category/durum-wheat-semolinas-for-couscous	
Wheat semolinas	Soft wheat semolinas	/category/soft-wheat-semolinas	Q3505415
Cereals and their products	Cereal starches	/category/cereal-starches	
Cereal starches	Corn starch	/category/corn-starch	Q3393961
Cereal starches	Rice starch	/category/rice-starch	
Cereal starches	Wheat starch	/category/wheat-starch	
Cereals and their products	Cereal syrups	/category/cereal-syrups	
Cereal syrups	Barley malt syrup	/category/barley-malt-syrup	Q3485291
Cereal syrups	Brown rice syrups	/category/brown-rice-syrups	Q3485298
Cereal syrups	Corn syrups	/category/corn-syrups	Q618739
Cereal syrups	High fructose corn syrups	/category/high-fructose-corn-syrups	Q11422173
Cereal syrups	Quinoa syrups	/category/quinoa-syrups	
Cereal syrups	Wheat syrups	/category/wheat-syrups	
Wheat syrups	Spelt syrups	/category/spelt-syrups	
Cereals and their products	Frozen cereals	/category/frozen-cereals	
Frozen cereals	Frozen corn	/category/frozen-corn	
Frozen corn	Frozen corn kernels	/category/frozen-corn-kernels	
Frozen corn	Frozen corn on the cob	/category/frozen-corn-on-the-cob	
Frozen cereals	Frozen pre-cooked rice	/category/frozen-pre-cooked-rice	
Cereals and their products	Gnocchi of durum wheat semolina	/category/gnocchi-of-durum-wheat-semolina	
Cereals and their products	Groats	/category/groats	Q1436715
Groats	Buckwheat groats	/category/buckwheat-groats	
Groats	Millet groats	/category/millet-groats	
Groats	Oat groats	/category/oat-groats	
Groats	Rye groats	/category/rye-groats	
Groats	Wheat groats	/category/wheat-groats	
Wheat groats	Bulgur	/category/bulgur	Q250432
Wheat groats	Durum wheat groats	/category/durum-wheat-groats	
Cereals and their products	Noodles	/category/noodles	Q192874
Noodles	Cellophane noodles	/category/cellophane-noodles	Q840448
Noodles	Chinese noodles	/category/chinese-noodles	Q2723400
Chinese noodles	Chinese egg noodles	/category/chinese-egg-noodles	
Noodles	Egg noodles	/category/egg-noodles	
Egg noodles	Egg spaghetti	/category/egg-spaghetti	
Egg noodles	Egg tagliatelle	/category/egg-tagliatelle	
Noodles	Instant noodles	/category/instant-noodles	Q1051265
Instant noodles	Instant noodle soups	/category/instant-noodle-soups	
Noodles	Rice vermicelli	/category/rice-vermicelli	Q716004
Noodles	Whole Wheat Noodles	/category/whole-wheat-noodles	
Cereals and their products	Pastas	/category/pastas	Q178
Pastas	Barley Pasta	/category/barley-pasta	
Pastas	Buckwheat pasta	/category/buckwheat-pasta	
Pastas	Corn pasta	/category/corn-pasta	
Pastas	Dry pasta	/category/dry-pasta	
Dry pasta	Dry egg pastas	/category/dry-egg-pastas	
Dry pasta	Durum wheat pasta	/category/durum-wheat-pasta	
Durum wheat pasta	Durum wheat letters	/category/durum-wheat-letters	
Durum wheat pasta	Durum wheat macaroni	/category/durum-wheat-macaroni	
Durum wheat pasta	Durum wheat noodles	/category/durum-wheat-noodles	
Durum wheat pasta	Durum wheat pasta vysshiy sort GOST	/category/durum-wheat-pasta-vysshiy-sort-gost	
Durum wheat pasta	Durum wheat pasta with egg	/category/durum-wheat-pasta-with-egg	
Durum wheat pasta	Durum wheat penne	/category/durum-wheat-penne	
Durum wheat pasta	Durum wheat plates for cannelloni	/category/durum-wheat-plates-for-cannelloni	
Durum wheat pasta	Durum wheat plates for lasagna	/category/durum-wheat-plates-for-lasagna	
Durum wheat pasta	Durum wheat spaghetti	/category/durum-wheat-spaghetti	
Durum wheat pasta	Spirals of durum wheat	/category/spirals-of-durum-wheat	
Durum wheat pasta	es:Estrellas de trigo duro	/category/es:estrellas-de-trigo-duro	
Durum wheat pasta	es:Farfalle de trigo duro	/category/es:farfalle-de-trigo-duro	
Durum wheat pasta	es:Fideos de trigo duro	/category/es:fideos-de-trigo-duro	
Durum wheat pasta	es:Fideuá de trigo duro	/category/es:fideua-de-trigo-duro	
Durum wheat pasta	es:Fusilli	/category/es:fusilli	
Durum wheat pasta	fr:Coquillettes de blé dur	/category/fr:coquillettes-de-ble-dur	
Durum wheat pasta	fr:Spaghetti au blé dur complet	/category/fr:spaghetti-au-ble-dur-complet	
Durum wheat pasta	fr:Torsades de blé dur	/category/fr:torsades-de-ble-dur	
Dry pasta	Flavored and colored dry pastas	/category/flavored-and-colored-dry-pastas	
Pastas	Egg pastas	/category/egg-pastas	
Egg pastas	Dry egg pastas	/category/dry-egg-pastas	
Pastas	Fresh pasta	/category/fresh-pasta	
Fresh pasta	fr:Ravioli frais	/category/fr:ravioli-frais	
Fresh pasta	fr:Tagliatelles fraîches	/category/fr:tagliatelles-fraiches	Q20044
Pastas	Gluten-free pasta	/category/gluten-free-pasta	
Pastas	Kamut pasta	/category/kamut-pasta	
Pastas	Oat pasta	/category/oat-pasta	
Pastas	Penne rigate	/category/penne-rigate	
Pastas	Rice pasta	/category/rice-pasta	
Pastas	Rye Pasta	/category/rye-pasta	
Pastas	Soba	/category/soba	Q753910
Pastas	Spaghetti	/category/spaghetti	Q20026
Spaghetti	Durum wheat spaghetti	/category/durum-wheat-spaghetti	
Spaghetti	Whole wheat spaghetti	/category/whole-wheat-spaghetti	
Whole wheat spaghetti	fr:Spaghetti au blé dur complet	/category/fr:spaghetti-au-ble-dur-complet	
Spaghetti	fr:Spaghetti au petit épeautre	/category/fr:spaghetti-au-petit-epeautre	
Pastas	Spelt pastas	/category/spelt-pastas	
Spelt pastas	fr:Pâtes d'épeautre complètes ou semi-complètes	/category/fr:pates-d-epeautre-completes-ou-semi-completes	
Pastas	Tagliatelle	/category/tagliatelle	Q20044
Tagliatelle	fr:Tagliatelles fraîches	/category/fr:tagliatelles-fraiches	Q20044
Pastas	Udon	/category/udon	Q471861
Pastas	Wheat pasta	/category/wheat-pasta	
Wheat pasta	es:Pastas de trigo duro integrales o semi-integrales	/category/es:pastas-de-trigo-duro-integrales-o-semi-integrales	
es:Pastas de trigo duro integrales o semi-integrales	Durum wheat farfalle integral or semi-integral	/category/durum-wheat-farfalle-integral-or-semi-integral	
es:Pastas de trigo duro integrales o semi-integrales	Durum wheat letters integral or semi-integral	/category/durum-wheat-letters-integral-or-semi-integral	
es:Pastas de trigo duro integrales o semi-integrales	Whole or semi-integral durum wheat spaghetti	/category/whole-or-semi-integral-durum-wheat-spaghetti	
es:Pastas de trigo duro integrales o semi-integrales	Whole or semi-integral durum wheat spaghetti spirals	/category/whole-or-semi-integral-durum-wheat-spaghetti-spirals	
es:Pastas de trigo duro integrales o semi-integrales	Whole or semi-integral durum wheat spaghetti stars	/category/whole-or-semi-integral-durum-wheat-spaghetti-stars	
es:Pastas de trigo duro integrales o semi-integrales	es:Fideos de trigo duro integrales o semi-integrales	/category/es:fideos-de-trigo-duro-integrales-o-semi-integrales	
es:Pastas de trigo duro integrales o semi-integrales	es:Fideuá de trigo duro integrales o semi-integrales	/category/es:fideua-de-trigo-duro-integrales-o-semi-integrales	
es:Pastas de trigo duro integrales o semi-integrales	es:Hélices de trigo duro integrales o semi-integrales	/category/es:helices-de-trigo-duro-integrales-o-semi-integrales	
es:Pastas de trigo duro integrales o semi-integrales	es:Macarrones de trigo duro integrales o semi-integrales	/category/es:macarrones-de-trigo-duro-integrales-o-semi-integrales	
es:Pastas de trigo duro integrales o semi-integrales	es:Otras pastas de trigo duro integrales integrales o semi-integrales	/category/es:otras-pastas-de-trigo-duro-integrales-integrales-o-semi-integrales	
es:Pastas de trigo duro integrales o semi-integrales	es:Placas de trigo duro para canelones integrales o semi-integrales	/category/es:placas-de-trigo-duro-para-canelones-integrales-o-semi-integrales	
es:Pastas de trigo duro integrales o semi-integrales	es:Placas de trigo duro para lasaña integrales o semi-integrales	/category/es:placas-de-trigo-duro-para-lasana-integrales-o-semi-integrales	
es:Pastas de trigo duro integrales o semi-integrales	es:Plumas de trigo duro integrales o semi-integrales	/category/es:plumas-de-trigo-duro-integrales-o-semi-integrales	
es:Pastas de trigo duro integrales o semi-integrales	es:Tallarines de trigo duro integrales o semi-integrales	/category/es:tallarines-de-trigo-duro-integrales-o-semi-integrales	
Pastas	fr:Coquillettes	/category/fr:coquillettes	Q2996948
fr:Coquillettes	fr:Coquillettes de blé dur	/category/fr:coquillettes-de-ble-dur	
Pastas	fr:Crozets	/category/fr:crozets	
Pastas	fr:Lasagnes à garnir	/category/fr:lasagnes-a-garnir	
Pastas	fr:Pâtes d'Alsace	/category/fr:pates-d-alsace	
Pastas	fr:Pâtes de petit épeautre	/category/fr:pates-de-petit-epeautre	
Pastas	fr:Torti	/category/fr:torti	
Cereals and their products	Pie dough	/category/pie-dough	
Pie dough	Puff pastry sheets	/category/puff-pastry-sheets	
Pie dough	fr:Pâtes brisées	/category/fr:pates-brisees	
Pie dough	fr:Pâtes sablées	/category/fr:pates-sablees	
Cereals and their products	Powdered cereal milks	/category/powdered-cereal-milks	
Powdered cereal milks	Powdered amaranth milks	/category/powdered-amaranth-milks	
Powdered cereal milks	Powdered millet milks	/category/powdered-millet-milks	
Powdered cereal milks	Powdered oat milks	/category/powdered-oat-milks	
Powdered cereal milks	Powdered quinoa milks	/category/powdered-quinoa-milks	
Powdered cereal milks	Powdered rice milks	/category/powdered-rice-milks	
Powdered cereal milks	Powdered sesame milks	/category/powdered-sesame-milks	
Powdered cereal milks	Powdered teff milks	/category/powdered-teff-milks	
Powdered cereal milks	Powdered wheat milks	/category/powdered-wheat-milks	
Powdered wheat milks	Powdered Khorasan wheat milks	/category/powdered-khorasan-wheat-milks	
Powdered wheat milks	Powdered spelt milks	/category/powdered-spelt-milks	
Cereals and their products	Precooked rices	/category/precooked-rices	Q6038850
Cereals and their products	Puffed cereal cakes	/category/puffed-cereal-cakes	
Puffed cereal cakes	Puffed corn cakes	/category/puffed-corn-cakes	
Puffed cereal cakes	Puffed corn cakes with black chocolate	/category/puffed-corn-cakes-with-black-chocolate	
Puffed cereal cakes	Puffed corn cakes with milk chocolate	/category/puffed-corn-cakes-with-milk-chocolate	
Puffed cereal cakes	Puffed multigrain cakes	/category/puffed-multigrain-cakes	
Puffed cereal cakes	Puffed oat cakes	/category/puffed-oat-cakes	
Puffed cereal cakes	Puffed rice cakes	/category/puffed-rice-cakes	
Puffed rice cakes	Puffed rice cakes with black chocolate	/category/puffed-rice-cakes-with-black-chocolate	
Puffed rice cakes	Puffed rice cakes with milk chocolate	/category/puffed-rice-cakes-with-milk-chocolate	
Puffed rice cakes	Puffed rice cakes with white chocolate	/category/puffed-rice-cakes-with-white-chocolate	
Puffed rice cakes	Puffed wholegrain rice cakes	/category/puffed-wholegrain-rice-cakes	
Puffed cereal cakes	Puffed wheat cakes	/category/puffed-wheat-cakes	
Puffed wheat cakes	Puffed Khorasan wheat cakes	/category/puffed-khorasan-wheat-cakes	
Puffed wheat cakes	Puffed spelt cakes	/category/puffed-spelt-cakes	
Cereals and their products	Seitan	/category/seitan	Q943935
Cereals and potatoes	Frozen potatoes	/category/frozen-potatoes	
Cereals and potatoes	Gnocchi	/category/gnocchi	
Gnocchi	Gnocchi of durum wheat semolina	/category/gnocchi-of-durum-wheat-semolina	
Gnocchi	Potato gnocchi	/category/potato-gnocchi	
Cereals and potatoes	Instant mashed potatoes	/category/instant-mashed-potatoes	Q3411001
Cereals and potatoes	Mashed potatoes	/category/mashed-potatoes	
Mashed potatoes	Instant mashed potatoes	/category/instant-mashed-potatoes	Q3411001
Cereals and potatoes	Potato crisps	/category/potato-crisps	Q173265
Potato crisps	Crisps of red potatoes	/category/crisps-of-red-potatoes	
Potato crisps	Farmer's crisps	/category/farmer-s-crisps	
Potato crisps	Flavoured potato crisps	/category/flavoured-potato-crisps	
Flavoured potato crisps	Barbecue crisps	/category/barbecue-crisps	
Flavoured potato crisps	Bolognese crisps	/category/bolognese-crisps	
Flavoured potato crisps	Cheddar and onion crisps	/category/cheddar-and-onion-crisps	
Flavoured potato crisps	Cheese and onion crisps	/category/cheese-and-onion-crisps	
Cheese and onion crisps	Cheddar and onion crisps	/category/cheddar-and-onion-crisps	
Flavoured potato crisps	Ketchup crisps	/category/ketchup-crisps	
Flavoured potato crisps	Paprika crisps	/category/paprika-crisps	
Flavoured potato crisps	Prawn cocktail crisps	/category/prawn-cocktail-crisps	
Flavoured potato crisps	Roasted chicken and thyme crisps	/category/roasted-chicken-and-thyme-crisps	
Flavoured potato crisps	Salt and pepper crisps	/category/salt-and-pepper-crisps	
Flavoured potato crisps	Sour cream and sweet chilli crisps	/category/sour-cream-and-sweet-chilli-crisps	
Flavoured potato crisps	fr:Chips à la moutarde	/category/fr:chips-a-la-moutarde	
Potato crisps	Light potato crisps	/category/light-potato-crisps	
Potato crisps	Old-fashioned crisps	/category/old-fashioned-crisps	
Potato crisps	Potato crisps in olive oil	/category/potato-crisps-in-olive-oil	
Potato crisps	Potato crisps in sunflower oil	/category/potato-crisps-in-sunflower-oil	
Potato crisps	Salt and vinegar crisps	/category/salt-and-vinegar-crisps	
Salt and vinegar crisps	Salt and malt vinegar crisps	/category/salt-and-malt-vinegar-crisps	
Cereals and potatoes	Potatoes	/category/potatoes	
Potatoes	Agata potatoes	/category/agata-potatoes	Q373973
Potatoes	Charlotte potatoes	/category/charlotte-potatoes	Q1067085
Potatoes	fr:Pommes de terre Béa	/category/fr:pommes-de-terre-bea	Q2929373
fr:Pommes de terre Béa	fr:Béa du Roussillon	/category/fr:bea-du-roussillon	Q2929377
Potatoes	fr:Pommes de terre catégorie 1	/category/fr:pommes-de-terre-categorie-1	
Potatoes	fr:Pommes de terre de l'île de Ré	/category/fr:pommes-de-terre-de-l-ile-de-re	Q3395977
fr:Pommes de terre de l'île de Ré	fr:Pommes de terre AOC	/category/fr:pommes-de-terre-aoc	
fr:Pommes de terre de l'île de Ré	fr:Pommes de terre primeurs	/category/fr:pommes-de-terre-primeurs	
Potatoes	fr:Pommes de terre labellisées	/category/fr:pommes-de-terre-labellisees	
fr:Pommes de terre labellisées	fr:Pommes de terre AOC	/category/fr:pommes-de-terre-aoc	
Plant-based foods	Coffees	/category/coffees	Q8486
Coffees	Coffee beans	/category/coffee-beans	Q153697
Coffee beans	Roasted coffee beans	/category/roasted-coffee-beans	
Coffees	Coffee capsules	/category/coffee-capsules	
Coffee capsules	Dolce Gusto-compatible coffee capsules	/category/dolce-gusto-compatible-coffee-capsules	
Coffee capsules	Nespresso-compatible coffee capsules	/category/nespresso-compatible-coffee-capsules	
Coffee capsules	Senseo-compatible coffee capsules	/category/senseo-compatible-coffee-capsules	
Coffee capsules	Tassimo-compatible coffee capsules	/category/tassimo-compatible-coffee-capsules	
Coffees	Decaffeinated coffees	/category/decaffeinated-coffees	
Decaffeinated coffees	Decaffeinated coffee capsules	/category/decaffeinated-coffee-capsules	
Decaffeinated coffees	Decaffeinated instant coffees	/category/decaffeinated-instant-coffees	
Coffees	Ground coffees	/category/ground-coffees	
Coffees	Instant coffees	/category/instant-coffees	Q858049
Instant coffees	Decaffeinated instant coffees	/category/decaffeinated-instant-coffees	
Instant coffees	Freeze-dried instant coffees	/category/freeze-dried-instant-coffees	
Coffees	Torrefacto coffees	/category/torrefacto-coffees	Q1357168
Plant-based foods	Coriander products	/category/coriander-products	Q41611
Coriander products	Coriander leaves	/category/coriander-leaves	
Coriander leaves	Fresh coriander leaves	/category/fresh-coriander-leaves	
Coriander leaves	Ground dried coriander leaves	/category/ground-dried-coriander-leaves	
Coriander leaves	Potted coriander	/category/potted-coriander	
Coriander products	Coriander seeds	/category/coriander-seeds	
Plant-based foods	Culinary plants	/category/culinary-plants	
Culinary plants	Aromatic plants	/category/aromatic-plants	
Aromatic plants	Aromatic herbs	/category/aromatic-herbs	Q207123
Aromatic herbs	Basil	/category/basil	Q38859
Basil	Fresh basil	/category/fresh-basil	
Basil	Frozen basil	/category/frozen-basil	
Basil	Ground dried basil	/category/ground-dried-basil	
Basil	Potted basil	/category/potted-basil	
Aromatic herbs	Chives	/category/chives	Q51148
Chives	Fresh chives	/category/fresh-chives	
Chives	Frozen chives	/category/frozen-chives	
Chives	Ground dried chives	/category/ground-dried-chives	
Chives	Lyophilized Chives	/category/lyophilized-chives	
Chives	Potted chives	/category/potted-chives	
Aromatic herbs	Dill	/category/dill	Q26686
Dill	Fresh dill	/category/fresh-dill	
Dill	Frozen dill	/category/frozen-dill	
Dill	Ground dried dill	/category/ground-dried-dill	
Aromatic herbs	Fennel leaves	/category/fennel-leaves	
Aromatic herbs	Fenugreek leaves	/category/fenugreek-leaves	
Fenugreek leaves	Fresh fenugreek leaves	/category/fresh-fenugreek-leaves	
Fenugreek leaves	Ground dried fenugreek leaves	/category/ground-dried-fenugreek-leaves	
Aromatic herbs	Garden chervil leaves	/category/garden-chervil-leaves	
Aromatic herbs	Hyssop	/category/hyssop	Q137931
Aromatic herbs	Marjoram	/category/marjoram	Q22694
Aromatic herbs	Mint	/category/mint	Q47859
Mint	Fresh mint	/category/fresh-mint	
Fresh mint	Fresh spearmint	/category/fresh-spearmint	
Mint	Frozen mint	/category/frozen-mint	
Frozen mint	Frozen spearmint	/category/frozen-spearmint	
Mint	Ground dried mint	/category/ground-dried-mint	
Ground dried mint	Ground dried spearmint	/category/ground-dried-spearmint	
Mint	Pennyroyal	/category/pennyroyal	Q161235
Mint	Peppermint	/category/peppermint	Q156037
Mint	Potted mint	/category/potted-mint	
Potted mint	Potted spearmint	/category/potted-spearmint	
Mint	Spearmint	/category/spearmint	Q160114
Spearmint	Fresh spearmint	/category/fresh-spearmint	
Spearmint	Frozen spearmint	/category/frozen-spearmint	
Spearmint	Ground dried spearmint	/category/ground-dried-spearmint	
Spearmint	Potted spearmint	/category/potted-spearmint	
Aromatic herbs	Oregano	/category/oregano	Q134283
Oregano	Fresh oregano	/category/fresh-oregano	
Oregano	Ground dried oregano	/category/ground-dried-oregano	
Oregano	Potted oregano	/category/potted-oregano	
Aromatic herbs	Parsley	/category/parsley	Q25284
Parsley	Fresh parsley	/category/fresh-parsley	
Parsley	Frozen parsley	/category/frozen-parsley	
Parsley	Ground dried parsley	/category/ground-dried-parsley	
Parsley	Lyophilized parsley	/category/lyophilized-parsley	
Parsley	Potted parsley	/category/potted-parsley	
Aromatic herbs	Rosemary	/category/rosemary	Q122679
Rosemary	Fresh rosemary	/category/fresh-rosemary	
Rosemary	Ground dried rosemary	/category/ground-dried-rosemary	
Rosemary	Potted rosemary	/category/potted-rosemary	
Aromatic herbs	Sage	/category/sage	Q1111359
Sage	Ground dried sage	/category/ground-dried-sage	
Aromatic herbs	Tarragon	/category/tarragon	Q155814
Tarragon	Fresh tarragon	/category/fresh-tarragon	
Tarragon	Ground dried tarragon	/category/ground-dried-tarragon	
Aromatic herbs	Thyme	/category/thyme	Q148668
Thyme	Fresh thyme	/category/fresh-thyme	
Thyme	Ground dried thyme	/category/ground-dried-thyme	
Aromatic plants	Bay laurel	/category/bay-laurel	Q26006
Bay laurel	Dried bay laurel	/category/dried-bay-laurel	
Bay laurel	Fresh bay laurel	/category/fresh-bay-laurel	
Bay laurel	Ground dried bay laurel	/category/ground-dried-bay-laurel	
Aromatic plants	Dried aromatic plants	/category/dried-aromatic-plants	
Dried aromatic plants	Dried bay laurel	/category/dried-bay-laurel	
Dried aromatic plants	Dried bouquet garni	/category/dried-bouquet-garni	
Aromatic plants	Fresh aromatic plants	/category/fresh-aromatic-plants	
Fresh aromatic plants	Fresh basil	/category/fresh-basil	
Fresh aromatic plants	Fresh bay laurel	/category/fresh-bay-laurel	
Fresh aromatic plants	Fresh bouquet garni	/category/fresh-bouquet-garni	
Fresh aromatic plants	Fresh chives	/category/fresh-chives	
Fresh aromatic plants	Fresh coriander leaves	/category/fresh-coriander-leaves	
French cheeses	fr:Charolais	/category/fr:charolais	
French cheeses	fr:Chevrotins	/category/fr:chevrotins	
French cheeses	fr:Comté	/category/fr:comte	
French cheeses	fr:Coulommiers	/category/fr:coulommiers	Q774297
French cheeses	fr:Crottins de Chavignol	/category/fr:crottins-de-chavignol	Q249873
French cheeses	fr:Fourme d'Ambert	/category/fr:fourme-d-ambert	Q1245530
French cheeses	fr:Fourme de Montbrison	/category/fr:fourme-de-montbrison	Q1245441
French cheeses	fr:Fromages du Nord-Pas-de-Calais	/category/fr:fromages-du-nord-pas-de-calais	
French cheeses	fr:Laguiole	/category/fr:laguiole	
French cheeses	fr:Langres	/category/fr:langres	
French cheeses	fr:Livarot	/category/fr:livarot	Q1144668
French cheeses	fr:Mâconnais	/category/fr:maconnais	
French cheeses	fr:Maroilles	/category/fr:maroilles	Q734978
French cheeses	fr:Mont d'Or	/category/fr:mont-d-or	Q2147909
French cheeses	fr:Morbiers	/category/fr:morbiers	Q177727
French cheeses	fr:Munster	/category/fr:munster	
French cheeses	fr:Neufchâtel	/category/fr:neufchatel	
French cheeses	fr:Ossau-lraty	/category/fr:ossau-lraty	Q520598
French cheeses	fr:Pélardon	/category/fr:pelardon	
French cheeses	fr:Pérail	/category/fr:perail	
French cheeses	fr:Picodon	/category/fr:picodon	
French cheeses	fr:Pouligny-Saint-Pierre	/category/fr:pouligny-saint-pierre	
French cheeses	fr:Reblochons	/category/fr:reblochons	Q543805
French cheeses	fr:Rigotte de Condrieu	/category/fr:rigotte-de-condrieu	
French cheeses	fr:Rocamadour	/category/fr:rocamadour	
French cheeses	fr:Saint-Marcellin	/category/fr:saint-marcellin	
French cheeses	fr:Saint-nectaire	/category/fr:saint-nectaire	Q548309
French cheeses	fr:Sainte-Maure de Touraine	/category/fr:sainte-maure-de-touraine	
French cheeses	fr:Salers	/category/fr:salers	
French cheeses	fr:Selles-sur-Cher	/category/fr:selles-sur-cher	
French cheeses	fr:Tome des Bauges	/category/fr:tome-des-bauges	
French cheeses	fr:Tomme de Savoie	/category/fr:tomme-de-savoie	
French cheeses	fr:Tomme des Pyrénées	/category/fr:tomme-des-pyrenees	
Cheeses	Goat cheeses	/category/goat-cheeses	Q198815
Goat cheeses	Cabécous	/category/cabecous	Q954122
Goat cheeses	Valençay cheese	/category/valencay-cheese	Q659277
Goat cheeses	fr:Banon	/category/fr:banon	
Goat cheeses	fr:Chabichous du Poitou	/category/fr:chabichous-du-poitou	
Goat cheeses	fr:Charolais	/category/fr:charolais	
Goat cheeses	fr:Chevrotins	/category/fr:chevrotins	
Goat cheeses	fr:Crottins de Chavignol	/category/fr:crottins-de-chavignol	Q249873
Goat cheeses	fr:Mâconnais	/category/fr:maconnais	
Goat cheeses	fr:Pélardon	/category/fr:pelardon	
Goat cheeses	fr:Picodon	/category/fr:picodon	
Goat cheeses	fr:Pouligny-Saint-Pierre	/category/fr:pouligny-saint-pierre	
Goat cheeses	fr:Rigotte de Condrieu	/category/fr:rigotte-de-condrieu	
Goat cheeses	fr:Rocamadour	/category/fr:rocamadour	
Goat cheeses	fr:Sainte-Maure de Touraine	/category/fr:sainte-maure-de-touraine	
Goat cheeses	fr:Selles-sur-Cher	/category/fr:selles-sur-cher	
Cheeses	Grated cheese	/category/grated-cheese	
Grated cheese	Grated emmentaler	/category/grated-emmentaler	
Cheeses	Greek cheeses	/category/greek-cheeses	
Greek cheeses	de:Manouri	/category/de:manouri	Q94606
Greek cheeses	el:Anevato	/category/el:anevato	
Greek cheeses	el:Batzos	/category/el:batzos	
Greek cheeses	el:Formaella Arachovas Parnassou	/category/el:formaella-arachovas-parnassou	
Greek cheeses	el:Galotyri	/category/el:galotyri	
Greek cheeses	el:Graviera Agrafon	/category/el:graviera-agrafon	
Greek cheeses	el:Graviera Kritis	/category/el:graviera-kritis	
Greek cheeses	el:Graviera Naxou	/category/el:graviera-naxou	
Greek cheeses	el:Kalathaki Limnou	/category/el:kalathaki-limnou	
Greek cheeses	el:Kasseri	/category/el:kasseri	
Greek cheeses	el:Katiki Domokou	/category/el:katiki-domokou	
Greek cheeses	el:Kefalograviera	/category/el:kefalograviera	Q1232535
Greek cheeses	el:Kopanisti	/category/el:kopanisti	
Greek cheeses	el:Ladotyri Mytilinis	/category/el:ladotyri-mytilinis	
Greek cheeses	el:Metsovone	/category/el:metsovone	Q1223811
Greek cheeses	el:Pichtogalo Chanion	/category/el:pichtogalo-chanion	
Greek cheeses	el:San Michali	/category/el:san-michali	
Greek cheeses	el:Sfela	/category/el:sfela	
Greek cheeses	el:Xygalo Siteias	/category/el:xygalo-siteias	
Greek cheeses	el:Xynomyzithra Kritis	/category/el:xynomyzithra-kritis	
Greek cheeses	Feta	/category/feta	Q182760
Cheeses	Half-cooked pressed cheeses	/category/half-cooked-pressed-cheeses	Q3088328
Half-cooked pressed cheeses	fr:Têtes de Moine	/category/fr:tetes-de-moine	Q687579
Cheeses	Industrial cheese	/category/industrial-cheese	
Cheeses	Italian cheeses	/category/italian-cheeses	
Italian cheeses	Gorgonzolas	/category/gorgonzolas	Q209044
Italian cheeses	Grana Padano	/category/grana-padano	
Italian cheeses	Mascarpone	/category/mascarpone	Q209889
Italian cheeses	Mozzarella	/category/mozzarella	Q14088
Mozzarella	fr:Mozzarella di Bufala Campana	/category/fr:mozzarella-di-bufala-campana	Q941068
Italian cheeses	Parmigiano-Reggiano	/category/parmigiano-reggiano	Q155922
Italian cheeses	Pecorino	/category/pecorino	Q677640
Pecorino	it:Pecorino Crotonese	/category/it:pecorino-crotonese	
Pecorino	it:Pecorino delle Balze Volterrane	/category/it:pecorino-delle-balze-volterrane	
Pecorino	it:Pecorino di Filiano	/category/it:pecorino-di-filiano	
Pecorino	it:Pecorino di Picinisco	/category/it:pecorino-di-picinisco	
Pecorino	it:Pecorino Romano	/category/it:pecorino-romano	Q1246024
Pecorino	it:Pecorino Sardo	/category/it:pecorino-sardo	Q592173
Pecorino	it:Pecorino Siciliano	/category/it:pecorino-siciliano	
Pecorino	it:Pecorino Toscano	/category/it:pecorino-toscano	Q980288
Italian cheeses	Ricotta	/category/ricotta	Q216781
Ricotta	it:Ricotta Romana	/category/it:ricotta-romana	
Italian cheeses	fr:Burrata	/category/fr:burrata	Q543512
Italian cheeses	it:Asiago	/category/it:asiago	
Italian cheeses	it:Bitto	/category/it:bitto	
Italian cheeses	it:Bra	/category/it:bra	
Italian cheeses	it:Caciocavallo Silano	/category/it:caciocavallo-silano	
Italian cheeses	it:Canestrato di Moliterno	/category/it:canestrato-di-moliterno	
Italian cheeses	it:Canestrato Pugliese	/category/it:canestrato-pugliese	
Italian cheeses	it:Casatella Trevigiana	/category/it:casatella-trevigiana	
Italian cheeses	it:Casciotta d'Urbino	/category/it:casciotta-d-urbino	
Italian cheeses	it:Castelmagno	/category/it:castelmagno	
Italian cheeses	it:Fiore Sardo	/category/it:fiore-sardo	
Italian cheeses	it:Fontina	/category/it:fontina	
Italian cheeses	it:Formaggella del Luinese	/category/it:formaggella-del-luinese	
Italian cheeses	it:Formaggio di Fossa di Sogliano	/category/it:formaggio-di-fossa-di-sogliano	
